uri,name,labels
Decade-1990,Movies of the 1990s,Decade
Decade-1970,Movies of the 1970s,Decade
Decade-1960,Movies of the 1960s,Decade
Decade-1980,Movies of the 1980s,Decade
Decade-1930,Movies of the 1930s,Decade
Decade-1940,Movies of the 1940s,Decade
Decade-1950,Movies of the 1950s,Decade
Decade-1920,Movies of the 1920s,Decade
Decade-2000,Movies of the 2000s,Decade
Decade-1900,Movies of the 1900s,Decade
Decade-2010,Movies of the 2010s,Decade
http://www.wikidata.org/entity/Q1163034,Cinergi Pictures,Company
http://www.wikidata.org/entity/Q1348264,Hollywood Pictures,Company
http://www.wikidata.org/entity/Q219135,Eon Productions,Company
http://www.wikidata.org/entity/Q457893,Amblin Entertainment,Company
http://www.wikidata.org/entity/Q497155,Touchstone Pictures,Company
http://www.wikidata.org/entity/Q168383,Universal Studios,Company
http://www.wikidata.org/entity/Q159846,Paramount Pictures,Company
http://www.wikidata.org/entity/Q127552,Pixar,Company
http://www.wikidata.org/entity/Q191224,Walt Disney Pictures,Company
http://www.wikidata.org/entity/Q17386257,Laurence Mark Productions,Company
http://www.wikidata.org/entity/Q1032540,Canal+,Company
http://www.wikidata.org/entity/Q1044291,Carolco Pictures,Company
http://www.wikidata.org/entity/Q6131902,Tele-Communications Inc.,Company
http://www.wikidata.org/entity/Q434841,20Th Century Fox,Company
http://www.wikidata.org/entity/Q466459,Regency Enterprises,Company
http://www.wikidata.org/entity/Q622848,Castle Rock Entertainment,Company
http://www.wikidata.org/entity/Q2756503,Gaumont-British Picture Corporation,Company
http://www.wikidata.org/entity/Q2926174,Brooksfilms,Company
http://www.wikidata.org/entity/Q6056696,Interscope Communications,Company
http://www.wikidata.org/entity/Q3841084,LéGende Entreprises,Company
http://www.wikidata.org/entity/Q186941,Columbia Pictures,Company
http://www.wikidata.org/entity/Q126399,Warner Bros.,Company
http://www.wikidata.org/entity/Q1188938,Silver Pictures,Company
http://www.wikidata.org/entity/Q300323,A Band Apart,Company
http://www.wikidata.org/entity/Q971446,Bbc Films,Company
http://www.wikidata.org/entity/Q6389652,Kennedy Miller Mitchell,Company
http://www.wikidata.org/entity/Q1983457,Polygram Filmed Entertainment,Company
http://www.wikidata.org/entity/Q2060840,Working Title Films,Company
http://www.wikidata.org/entity/Q2450848,Studiocanal,Company
http://www.wikidata.org/entity/Q1535788,Rank Organisation,Company
http://www.wikidata.org/entity/Q79202,New Line Cinema,Company
http://www.wikidata.org/entity/Q465449,Miramax,Company
http://www.wikidata.org/entity/Q2714773,Caravan Pictures,Company
http://www.wikidata.org/entity/Q25659094,Roger Birnbaum Productions,Company
http://www.wikidata.org/entity/Q3521465,The Kennedy/Marshall Company,Company
http://www.wikidata.org/entity/Q3304113,Medusa Film,Company
